Components,Projectile (gauge),Start (mm),End (mm),Distance,Notes
2,18,1.5,16,14.5,
2,18,1.5,4,2.5,bead broke from needle tip
2,26,2,17,15,
2,26,2,14,12,
2,26,2,17,15,
2,26,2,13.5,11.5,
2,26,2,19,17,
2,20,2,7,5,
2,20,2,9,7,
2,20,2,12,10,
2,20,2,20,18,
2,20,2,12,10,
3,20,2,2,0,
3,20,2,5,3,
3,20,2,2,0,
3,20,2,17,15,bead broke from needle tip
3,20,2,16,14,
4,20,2,16,14,
4,20,2,2,0,
4,20,2,7,5,
4,20,2,2,0,
4,20,2,5,3,
2,18,2,3,1,Wax Paper
2,20,1,6,5,
2,20,1,8,7,
2,20,1,4,3,
2,20,1,3,2,
2,20,1,7,6,
2,18,2,17,15,bead broke from needle tip
2,18,2,4,2,broken
2,18,2,12,10,broken
2,18,2,5,3,broken
2,18,2,4.5,2.5,broken
3,18,2,18.5,16.5,
3,18,2,7,5,broken
